locality,zone,infrastructure,area_sqft,distance_highway_km,distance_city_center_km,distance_water_km,distance_metro_km,ownership_changes,years_held,legal_disputes,flood_zone,near_metro,near_tech_park,price_sqft,total_price,asking_price
Vasanth Nagar,residential,excellent,15849.1,7.69,1.75,5.15,1.04,2,1,0,0,1,0,18155.44,287748061.28,256052010.28
Sadashivanagar,residential,excellent,2736.4,7.27,5.81,2.71,3.82,0,1,0,0,0,0,16052.04,43925180.82,54521541.42
Tumkur Road,industrial,average,3807.8,0.3,11.83,5.13,4.77,1,23,0,0,0,1,2883.36,10979154.41,12874853.64
HBR Layout,residential,good,1281.5,8.74,8.17,6.6,1.92,1,14,0,0,0,0,6901.32,8844189.36,11535947.66
Varthur,residential,average,4810.8,9.15,16.95,1.76,3.02,0,19,0,0,0,0,3237.6,15575338.34,16529912.38
Bannerghatta Road,residential,good,10531.8,7.74,16.99,6.22,3.02,3,2,0,0,0,0,4582.0,48256641.58,64898354.99
Frazer Town,residential,excellent,3965.0,6.85,2.86,6.64,1.32,1,20,0,0,1,0,12926.86,51255008.85,57364216.84
Kogilu,residential,good,4962.2,4.0,14.17,7.93,2.63,4,3,0,0,0,0,3906.05,19382754.13,21792256.65
Mahalakshmi Layout,residential,good,15749.9,6.58,6.12,2.34,4.46,0,21,0,0,0,0,7650.11,120488257.33,108489053.88
Marathahalli,commercial,excellent,4860.1,4.79,14.79,4.17,0.53,2,8,1,0,1,1,8112.82,39429077.54,40789326.45
Whitefield,commercial,excellent,11094.5,6.12,17.85,5.67,2.01,2,8,0,0,0,1,7091.56,78677582.9,99989413.29
Rajajinagar,residential,excellent,4869.7,3.98,5.74,3.44,2.32,0,6,0,0,0,0,9270.52,45144363.05,41680130.88
Malleshwaram,residential,excellent,5525.5,5.74,2.93,7.9,2.0,2,14,0,0,0,0,13360.48,73823465.7,87473920.26
Anekal,agricultural,poor,1434.2,5.73,36.74,0.7,3.43,2,9,0,0,0,0,888.96,1274965.42,1137686.27
Anekal,agricultural,poor,2234.9,5.77,34.43,2.65,2.6,2,5,0,0,0,0,930.95,2080617.32,2015875.66
Marathahalli,commercial,excellent,10031.2,2.48,14.69,5.95,1.28,0,14,0,0,1,1,11448.2,114838967.63,144098048.34
Yeshwanthpur,commercial,good,3592.0,3.78,4.94,5.24,0.56,0,14,1,0,1,1,7305.65,26241812.21,29141468.24
Brigade Road,commercial,excellent,2597.8,5.27,1.16,5.89,3.42,1,14,1,0,0,1,20651.74,53648732.34,57901762.77
Whitefield,commercial,excellent,16906.4,5.84,18.54,4.21,3.13,1,23,0,0,0,1,7770.95,131378920.94,101203632.18
Marathahalli,commercial,excellent,3257.5,6.32,13.78,0.3,0.35,2,8,0,0,1,1,8889.67,28957716.74,37802520.05
JP Nagar,residential,excellent,12794.9,9.12,9.56,1.8,1.77,1,11,0,0,0,0,10391.01,132952200.46,116641798.71
Attibele,industrial,poor,1434.4,4.02,29.61,0.57,2.91,1,21,0,0,0,1,1382.68,1983317.99,2117471.49
HSR Layout,residential,excellent,3144.4,6.7,8.71,3.72,1.69,0,20,0,0,0,1,12271.49,38586760.4,30173642.71
Harlur,residential,good,6995.5,7.67,16.88,0.22,1.88,5,15,0,0,0,0,5133.38,35910318.98,32591878.72
Attibele,industrial,poor,16918.3,3.41,28.0,6.39,0.36,2,14,0,0,1,1,1388.65,23493645.03,28000529.53
Anekal,agricultural,poor,13383.7,6.81,35.28,2.75,1.21,4,5,0,0,1,0,1029.12,13773457.43,16993902.73
Marathahalli,commercial,excellent,4565.8,4.11,16.58,2.79,4.46,1,3,0,0,0,1,8998.85,41086751.65,53029701.09
ITPL,commercial,excellent,13047.3,5.47,18.22,6.67,3.27,2,11,0,0,0,1,9829.19,128244460.11,105482163.87
MG Road,commercial,excellent,19974.8,4.89,0.5,5.22,3.18,1,19,0,0,0,1,26498.24,529296774.92,612223763.81
Nagarbhavi,residential,good,680.0,6.49,10.65,0.28,3.38,0,5,0,1,0,0,5294.31,3600260.57,3757454.62
Indiranagar,residential,excellent,6802.4,7.22,6.78,3.32,2.53,0,22,0,1,0,0,11701.05,79594908.94,69006217.85
Rajajinagar,residential,excellent,4184.1,5.41,3.82,3.57,1.5,2,3,0,0,0,0,8638.07,36142785.52,35835651.21
Tumkur Road,industrial,average,17222.2,0.3,14.94,6.76,4.19,6,22,1,0,0,1,2409.57,41498139.2,44884443.88
HBR Layout,residential,good,2353.4,8.08,7.56,7.83,2.0,5,17,0,0,0,0,5121.23,12052052.68,15886477.79
Marathahalli,commercial,excellent,15013.1,2.06,17.85,1.09,1.69,1,9,0,0,0,1,9391.74,140998818.69,163442847.85
Nagarbhavi,residential,good,3190.4,7.87,10.4,0.44,4.74,1,12,0,0,0,0,5665.05,18073719.02,22341556.85
Bannerghatta Road,residential,good,4786.7,8.67,10.43,7.92,0.91,2,2,1,0,1,0,5957.48,28516375.33,34735820.13
Richmond Town,residential,excellent,765.3,6.7,4.18,3.29,3.98,3,10,0,0,0,0,15179.86,11616706.16,14281687.48
Hebbal,residential,excellent,1072.8,4.73,11.19,0.31,0.31,2,20,0,0,1,1,12433.12,13337965.42,10957502.62
Shivajinagar,commercial,excellent,1148.1,5.05,4.25,4.01,3.82,0,20,1,0,0,1,13358.98,15336954.34,18336744.64
Bommanahalli,residential,good,776.9,5.97,11.92,2.91,3.63,3,16,0,0,0,0,4714.58,3662946.27,4291285.53
Begur,residential,average,4531.5,9.16,21.39,1.31,0.87,2,6,1,1,1,0,2716.28,12308800.63,13809236.74
Yeshwanthpur,commercial,good,2645.6,3.1,10.53,5.13,4.92,0,15,0,1,0,1,6902.24,18260808.62,19510638.91
Kogilu,residential,good,5456.7,7.58,12.87,1.2,3.68,0,14,0,0,0,0,4829.13,26351106.57,24665625.23
Yelahanka,residential,good,2844.9,3.8,16.23,2.97,1.52,2,14,0,0,0,0,4319.31,12287978.23,9966888.71
Hebbal,residential,excellent,4228.6,3.76,8.15,7.55,3.36,2,19,0,0,0,1,10302.9,43566322.65,45097581.17
Basavanagudi,residential,excellent,15624.1,8.71,8.7,5.54,0.63,2,18,0,0,1,0,11270.89,176097998.59,143642515.8
Hoskote,agricultural,poor,3984.1,2.09,33.54,1.38,0.74,0,15,0,0,1,0,1356.91,5406100.54,5991460.49
Whitefield,commercial,excellent,1309.2,7.81,16.67,0.88,1.01,1,6,0,0,1,1,10055.13,13163684.78,16945392.59
Sarjapur Road,residential,good,4451.1,8.02,20.57,0.32,2.95,2,11,0,0,0,1,6030.05,26840206.98,21149363.26
Hoodi,residential,good,17562.4,4.74,17.35,6.36,1.12,0,16,0,0,1,0,5560.81,97661286.74,120331697.75
Brookefield,residential,excellent,4579.0,4.94,15.45,0.82,3.17,0,8,0,0,0,0,8332.12,38152524.41,44196860.0
Devanahalli,agricultural,average,956.0,2.67,34.63,6.35,0.87,1,6,0,0,1,0,1595.67,1525412.5,1191998.97
Yelahanka,residential,good,4364.8,5.01,19.12,3.52,1.18,4,1,0,1,1,0,4195.99,18314664.75,17970695.44
Sadashivanagar,residential,excellent,1291.6,10.1,3.42,5.81,3.92,0,1,0,0,0,0,16553.58,21381288.63,16533324.85
Nagawara,residential,good,4384.7,4.62,6.88,2.19,1.93,0,17,0,0,0,0,8149.66,35734002.14,33358343.56
JP Nagar,residential,excellent,638.2,8.9,9.88,4.46,3.08,1,3,1,0,0,0,8942.88,5707714.37,4897057.49
ITPL,commercial,excellent,1508.9,4.05,17.15,4.8,1.79,0,15,0,0,0,1,9359.89,14122988.13,18794785.01
Mahadevapura,residential,good,4322.2,4.29,17.13,6.79,3.37,1,12,0,0,0,0,4939.71,21350417.23,16725908.88
Harlur,residential,good,1842.9,7.79,16.83,6.29,4.45,1,24,0,1,0,0,5642.56,10398429.05,12264640.9
Bannerghatta Road,residential,good,1945.0,7.29,16.84,4.76,3.5,3,19,0,0,0,0,4973.02,9672548.0,12928147.87
Kalyan Nagar,residential,good,18794.3,5.38,10.33,7.67,1.23,0,8,0,0,1,0,8420.4,158255095.43,120680225.95
Sadashivanagar,residential,excellent,1428.6,6.4,3.5,6.11,0.86,4,17,0,0,1,0,15125.4,21608123.01,22839939.61
Basavanagudi,residential,excellent,1302.5,10.78,7.15,2.73,3.59,0,21,0,0,0,0,11182.5,14564854.7,19282143.94
ITPL,commercial,excellent,853.1,4.76,18.18,2.43,4.24,2,13,0,0,0,1,9390.31,8010477.32,7189739.32
HSR Layout,residential,excellent,854.2,8.95,10.23,1.06,4.31,2,9,0,0,0,1,10917.35,9325824.68,8443723.86
Indiranagar,residential,excellent,6448.9,7.96,4.92,4.85,1.8,0,13,0,0,0,0,11651.26,75137582.2,92925675.09
HSR Layout,residential,excellent,4280.7,7.3,12.13,6.16,3.76,0,9,0,0,0,1,12354.15,52884480.78,55331930.36
Chandapura,residential,average,1437.5,6.56,26.34,3.05,3.78,3,16,0,0,0,0,2294.21,3297858.27,4238239.18
RR Nagar,residential,good,4927.4,7.62,12.18,0.7,1.18,0,11,0,0,1,0,7077.99,34875957.34,42578561.36
Vijayanagar,residential,good,3183.3,4.89,8.18,2.87,1.64,6,24,0,0,0,0,5108.13,16260483.93,18683747.78
HBR Layout,residential,good,1434.7,6.85,8.82,0.7,4.64,0,8,0,0,0,0,7046.8,10109758.55,12422572.56
Harlur,residential,good,3189.2,6.96,16.1,4.05,1.99,1,16,0,0,0,0,6162.02,19651651.13,24500296.62
Kadugodi,residential,average,4357.0,6.66,22.79,7.63,2.02,3,19,0,0,0,0,2958.89,12891799.76,12670222.48
Chandapura,residential,average,7436.3,7.5,24.95,6.54,0.75,3,22,0,0,1,0,2942.77,21883409.55,24297929.03
KR Puram,residential,good,4644.1,2.35,12.71,3.04,1.5,2,9,0,0,1,0,6282.14,29174714.82,35737128.04
Frazer Town,residential,excellent,18645.9,5.63,5.86,7.64,2.23,0,9,0,0,0,0,10986.35,204850832.92,252665164.28
Tumkur Road,industrial,average,2429.5,1.0,15.23,5.97,1.4,0,6,0,0,1,1,3319.94,8065881.18,6275701.71
Mahadevapura,residential,good,951.8,4.09,14.45,5.84,0.52,3,13,1,0,1,0,5748.94,5471849.82,4358876.62
Malleshwaram,residential,excellent,11060.4,5.38,5.35,2.12,3.32,2,8,0,0,0,0,12082.0,133631256.51,141644905.51
Bellandur,residential,good,4437.9,7.18,16.51,0.6,3.25,3,17,0,0,0,0,5356.7,23772513.03,23361311.99
Malleshwaram,residential,excellent,679.5,5.31,1.79,7.78,2.6,0,2,0,0,0,0,14935.15,10148502.11,9820672.16
KR Puram,residential,good,652.9,2.16,14.85,5.52,4.06,1,15,0,0,0,0,4585.1,2993794.67,3612097.84
HSR Layout,residential,excellent,1733.9,6.91,11.03,7.78,4.16,0,20,0,0,0,1,12523.82,21715026.1,28542932.98
Chandapura,residential,average,14976.4,6.65,24.56,0.34,1.42,0,11,0,0,1,0,3139.8,47022783.81,61637213.27
ITPL,commercial,excellent,3253.8,4.39,15.31,5.88,1.77,3,6,0,0,0,1,8899.03,28955806.49,27362630.47
Electronic City,industrial,good,13561.0,6.36,21.84,6.69,1.52,2,4,0,0,0,1,4228.15,57338077.38,53617982.04
Jakkur,residential,good,4126.1,4.0,13.3,1.69,2.04,0,22,0,1,0,0,5141.52,21214613.78,19375062.4
Nagawara,residential,good,5799.0,3.85,9.59,4.46,0.64,3,14,0,1,1,0,7408.67,42962685.67,44992901.21
Devanahalli,agricultural,average,5461.8,3.33,35.74,3.03,2.03,1,21,0,0,0,0,1438.55,7857017.0,7536846.62
Begur,residential,average,3621.1,11.2,20.95,2.1,2.57,1,13,1,0,0,0,2534.46,9177617.38,7120229.34
Hebbal,residential,excellent,4023.1,2.3,10.82,0.34,1.91,3,22,0,0,0,1,9046.0,36393102.34,43189551.5
MG Road,commercial,excellent,13745.2,4.03,3.3,1.42,4.46,0,9,0,0,0,1,27619.62,379636455.8,345206315.15
Rajajinagar,residential,excellent,4942.1,6.39,7.53,7.39,3.02,1,20,0,0,0,0,9825.14,48556816.42,59020064.8
Kogilu,residential,good,1066.0,6.52,17.11,4.19,4.18,4,16,0,0,0,0,4101.84,4372513.26,3318791.8
Electronic City,industrial,good,9377.5,4.96,19.88,0.52,3.2,2,9,0,0,0,1,4578.46,42934562.65,56571558.36
Nagarbhavi,residential,good,842.4,9.46,12.4,6.89,3.88,1,20,0,0,0,0,4796.14,4040487.73,3402199.9
Bommanahalli,residential,good,2262.0,5.96,13.49,4.77,1.28,0,2,0,0,1,0,6232.54,14098204.06,15661261.56
Thanisandra,residential,good,4974.9,3.89,14.94,2.22,3.53,1,2,0,0,0,0,5801.89,28863657.49,33104184.37
BTM Layout,residential,excellent,12507.6,10.69,8.16,7.72,4.93,1,2,1,0,0,0,8426.15,105391173.0,123832349.26
Basaveshwara Nagar,residential,good,1410.7,7.32,9.88,7.8,2.29,2,10,0,0,0,0,6338.62,8941606.55,10019121.07
HBR Layout,residential,good,1438.0,6.53,7.39,2.16,3.71,1,18,0,1,0,0,5987.86,8610778.01,8522402.35
Richmond Town,residential,excellent,16449.0,6.21,4.61,6.89,3.44,2,19,0,0,0,0,12911.95,212388749.39,184140948.22
ITPL,commercial,excellent,672.1,4.6,16.59,6.69,2.41,3,14,0,0,0,1,9782.12,6574223.81,7317270.32
Kalyan Nagar,residential,good,1339.6,6.7,12.3,2.51,2.83,0,9,0,0,0,0,6983.45,9355067.32,7885588.68
Thanisandra,residential,good,2834.7,5.01,12.69,0.97,4.65,0,20,0,0,0,0,5678.56,16096834.81,19343922.39
Harlur,residential,good,2080.7,8.61,16.33,3.11,4.65,2,22,0,1,0,0,5424.2,11286085.34,9242600.3
Indiranagar,residential,excellent,17739.8,7.06,4.99,0.23,3.16,0,10,1,0,0,0,12374.61,219523620.61,224567822.46
Shivajinagar,commercial,excellent,4302.8,7.58,2.5,5.3,4.42,1,18,0,0,0,1,17088.13,73527077.01,85942485.45
Devanahalli,agricultural,average,8642.2,0.57,38.27,4.82,2.8,1,11,0,0,0,0,1463.06,12644052.76,15574548.12
Carmelaram,residential,average,15168.8,8.78,20.38,3.33,4.19,0,3,1,0,0,0,3458.76,52465206.72,42542383.83
Tumkur Road,industrial,average,1458.7,0.3,10.3,3.43,4.05,1,20,0,1,0,1,3134.18,4571819.45,4240897.56
Vijayanagar,residential,good,1162.5,9.43,8.2,1.64,4.51,0,3,0,0,0,0,6943.64,8071958.05,10742893.48
Begur,residential,average,625.8,9.58,18.56,7.63,4.35,1,16,0,0,0,0,3851.31,2410053.34,3053878.96
Brigade Road,commercial,excellent,16416.7,5.93,1.51,7.51,4.02,1,11,0,0,0,1,25435.77,417570667.7,506766355.33
Richmond Town,residential,excellent,1178.4,6.77,5.95,6.88,2.21,0,18,0,0,0,0,16176.93,19063521.85,25660649.4
Malleshwaram,residential,excellent,1053.3,6.23,1.73,6.87,4.07,0,7,0,0,0,0,11885.16,12518883.73,16199914.75
Nagarbhavi,residential,good,693.2,8.56,13.92,6.66,4.83,4,23,1,0,0,0,4008.05,2778277.15,2953257.99
Yelahanka,residential,good,1714.9,3.24,16.06,7.44,2.56,0,3,0,0,0,0,5052.44,8664442.52,7233179.38
Sadashivanagar,residential,excellent,4907.2,6.62,5.38,1.35,1.81,2,18,0,0,0,0,15697.16,77028354.34,90686150.49
Nagawara,residential,good,7703.7,4.45,6.63,0.4,3.53,2,14,0,0,0,0,7229.28,55692433.99,65183951.0
Hebbal,residential,excellent,5122.7,1.94,9.36,2.01,3.53,5,8,0,0,0,1,9003.71,46123631.67,40377263.13
Hoodi,residential,good,8608.3,3.76,16.9,7.83,3.46,0,24,0,0,0,0,4914.37,42304251.44,42931634.08
Bannerghatta Road,residential,good,4319.8,9.44,14.92,0.75,0.35,0,20,0,0,1,0,6097.83,26341102.64,27323203.22
RR Nagar,residential,good,2740.8,7.02,12.75,0.7,3.55,1,13,0,0,0,0,5631.23,15434179.9,13201814.62
BTM Layout,residential,excellent,3268.9,7.95,5.01,7.56,4.97,2,15,0,0,0,0,9095.62,29732222.11,25896112.48
Mahadevapura,residential,good,1365.6,7.42,15.67,6.18,3.25,3,3,0,0,0,0,5118.85,6990310.69,6221690.55
Malleshwaram,residential,excellent,2795.3,5.62,6.01,3.87,1.69,0,8,0,0,0,0,12996.35,36328992.72,46849217.39
Kalyan Nagar,residential,good,4860.1,5.87,8.87,5.04,4.93,0,4,1,0,0,0,6743.72,32775140.43,25574627.28
Begur,residential,average,18879.6,9.15,20.53,3.27,0.67,2,7,1,0,1,0,3086.97,58280684.3,75323490.13
Chandapura,residential,average,1995.2,7.27,23.99,0.39,3.87,2,19,0,0,0,0,2662.87,5312937.55,4008666.68
Bellary Road,commercial,excellent,3983.5,1.86,10.59,7.72,4.62,1,19,0,0,0,1,9495.47,37825285.01,30920120.04
JP Nagar,residential,excellent,640.5,9.45,10.67,4.75,2.08,3,23,0,0,0,0,9389.66,6014270.45,4582461.25
Frazer Town,residential,excellent,6196.0,6.06,3.32,1.91,1.24,2,14,0,0,1,0,12668.14,78491268.22,78411478.57
Doddanekundi,commercial,good,1417.7,6.36,13.73,7.71,3.36,0,20,0,0,0,1,7677.95,10884867.92,9893637.69
Basaveshwara Nagar,residential,good,2065.7,5.8,10.79,6.32,2.78,4,7,0,0,0,0,5178.18,10696513.78,14184781.17
HSR Layout,residential,excellent,2577.6,7.08,9.74,3.95,1.18,1,15,0,0,1,1,11546.33,29762295.11,28962784.76
Nagarbhavi,residential,good,616.8,8.13,9.89,6.78,0.73,0,22,0,1,1,0,5800.25,3577437.92,3213504.42
Mahadevapura,residential,good,14762.2,5.27,15.63,3.15,4.65,2,20,0,0,0,0,5914.73,87314572.68,82052044.06
Vijayanagar,residential,good,2527.1,5.26,9.17,4.41,4.85,2,7,0,0,0,0,6556.02,16567804.26,18157042.02
Sarjapur Road,residential,good,3701.1,9.02,16.29,1.61,4.64,0,10,0,0,0,1,7073.34,26178819.67,27783928.49
Hoodi,residential,good,4789.4,4.36,15.3,5.43,1.16,0,5,0,0,1,0,6434.0,30815173.48,26896716.65
Doddaballapur,agricultural,poor,2434.9,4.68,38.41,0.25,4.42,0,15,0,1,0,0,715.97,1743348.11,2009642.0
Basavanagudi,residential,excellent,5489.9,8.56,6.82,6.17,4.07,4,19,0,0,0,0,7960.04,43700129.29,48265934.0
Malleshwaram,residential,excellent,3753.3,4.97,5.77,5.57,0.72,1,4,0,0,1,0,14852.54,55746118.93,56677584.55
MG Road,commercial,excellent,12887.5,4.71,2.71,7.75,1.02,0,20,0,0,1,1,34399.03,443318229.21,549533951.94
Begur,residential,average,3194.6,8.59,21.92,6.85,3.66,1,16,0,0,0,0,3071.93,9813550.13,8622260.68
Begur,residential,average,926.5,8.11,14.04,7.41,0.68,3,10,0,0,1,0,3620.05,3353838.36,4330399.16
Kadugodi,residential,average,4021.5,9.78,20.83,1.08,0.81,1,14,0,0,1,0,3080.3,12387256.99,10032383.76
Mahalakshmi Layout,residential,good,2221.9,4.39,4.64,1.25,4.04,0,3,0,0,0,0,8593.85,19094779.13,19361915.07
Bellary Road,commercial,excellent,1095.6,1.84,10.84,3.56,0.9,0,4,1,0,1,1,10656.1,11674783.68,12157854.82
Lavelle Road,residential,excellent,4798.6,4.47,4.31,2.39,1.89,3,2,0,0,0,0,18778.21,90109981.95,111684989.42
Doddanekundi,commercial,good,3414.7,3.14,17.25,5.76,2.96,0,15,0,0,0,1,6478.91,22123263.18,22905439.65
Sadashivanagar,residential,excellent,4203.9,7.08,3.8,3.83,4.85,1,10,0,1,0,0,15547.07,65358918.14,85077358.73
HBR Layout,residential,good,4808.4,5.68,12.69,5.95,3.16,1,8,0,0,0,0,6870.69,33037000.68,43738939.28
Bommanahalli,residential,good,2358.1,8.71,16.02,7.13,3.86,2,13,0,0,0,0,5200.86,12264375.13,15014766.75
Anekal,agricultural,poor,9417.0,6.06,33.84,3.39,0.74,0,9,1,0,1,0,1015.27,9560815.24,7390871.24
Vasanth Nagar,residential,excellent,3602.0,8.17,4.12,4.29,1.39,3,14,0,0,1,0,15230.84,54861201.88,64430303.13
Koramangala,commercial,excellent,613.5,5.98,5.62,2.17,4.23,2,23,1,0,0,1,15429.76,9466685.41,7592989.91
Frazer Town,residential,excellent,1362.9,5.48,4.32,4.6,3.35,0,6,0,0,0,0,13897.14,18940813.23,20367142.52
Mahadevapura,residential,good,4289.1,3.8,15.99,0.38,2.89,2,19,0,0,0,0,5756.77,24691568.24,32999948.02
Bellandur,residential,good,6980.5,7.33,15.51,2.63,0.37,3,3,0,0,1,0,6050.25,42233527.44,49470488.61
RR Nagar,residential,good,630.4,6.81,11.81,4.77,3.02,0,3,1,0,0,0,4565.71,2878218.83,3069354.31
Kalyan Nagar,residential,good,1083.0,7.26,7.56,6.22,2.94,0,3,0,0,0,0,7264.98,7868172.05,10341538.56
Doddanekundi,commercial,good,2464.9,4.42,16.44,0.81,0.35,4,6,0,0,1,1,7393.55,18224015.39,16554803.73
Nagawara,residential,good,1695.5,6.95,7.86,5.03,4.56,0,21,0,0,0,0,6503.62,11026876.25,12648449.95
Bellary Road,commercial,excellent,8665.2,0.3,9.37,4.16,2.09,1,10,0,0,0,1,10942.22,94816491.71,96258231.24
Yelahanka,residential,good,1267.3,3.6,17.31,6.69,0.67,4,16,0,0,1,0,5145.97,6521670.15,7479273.86
Richmond Town,residential,excellent,2115.1,3.88,5.53,4.45,1.21,2,11,0,0,1,0,18077.37,38235965.55,45371335.21
Basavanagudi,residential,excellent,5707.4,8.83,7.75,3.26,0.74,0,11,0,0,1,0,11326.44,64644787.93,79307706.0
Lavelle Road,residential,excellent,3692.2,6.52,1.63,0.89,2.26,0,11,0,0,0,0,24425.15,90183725.0,89149006.65
Attibele,industrial,poor,3699.2,4.7,28.15,1.25,3.03,1,15,0,0,0,1,1346.89,4982437.15,6620204.71
Yeshwanthpur,commercial,good,955.9,2.52,6.83,6.86,2.52,0,1,1,0,0,1,7619.21,7282851.88,8253039.44
Vijayanagar,residential,good,2573.4,7.34,6.59,0.61,3.44,0,12,0,0,0,0,6588.68,16955631.63,14444462.17
Peenya,industrial,average,1387.9,0.34,12.32,1.18,0.97,1,17,0,0,1,1,4277.88,5937180.45,4898707.83
Basavanagudi,residential,excellent,3504.8,11.26,6.09,7.95,1.82,0,3,0,0,0,0,10521.58,36876333.1,38114547.87
Vasanth Nagar,residential,excellent,4891.5,7.79,4.54,3.73,2.39,4,17,0,0,0,0,15556.67,76094822.58,64875232.61
JP Nagar,residential,excellent,14888.3,8.57,10.33,0.61,1.77,0,3,0,0,0,0,8821.54,131337623.48,99267949.74
Thanisandra,residential,good,3803.2,3.75,10.08,4.86,3.45,2,24,0,0,0,0,5688.11,21633234.29,26574466.21
Mahalakshmi Layout,residential,good,4921.9,5.56,9.48,4.69,3.62,1,19,0,0,0,0,7794.37,38363117.57,40317573.73
Basavanagudi,residential,excellent,1227.6,8.43,6.74,4.82,4.06,0,10,0,0,0,0,10802.25,13260998.1,12070098.92
Chandapura,residential,average,945.8,8.06,24.93,4.0,5.0,1,8,0,0,0,0,2504.41,2368778.54,2943816.27
Tumkur Road,industrial,average,1033.6,0.3,16.36,2.44,2.92,0,13,0,0,0,1,3511.74,3629767.25,3417307.67
Yeshwanthpur,commercial,good,2970.4,4.46,8.89,4.73,4.13,3,1,0,0,0,1,7670.33,22784005.5,22468564.45
Richmond Town,residential,excellent,18830.0,5.56,2.45,2.58,1.4,2,22,0,0,1,0,17140.33,322752043.79,413952587.61
Vasanth Nagar,residential,excellent,1624.3,6.46,3.76,7.58,1.23,0,1,0,0,1,0,21179.33,34402633.24,44086300.36
Whitefield,commercial,excellent,2771.0,6.12,17.65,4.0,1.2,1,15,0,0,1,1,9645.69,26728233.02,24089479.42
HSR Layout,residential,excellent,1935.0,7.12,7.49,0.91,3.64,1,10,0,1,0,1,11666.22,22573840.89,23587555.67
Koramangala,commercial,excellent,3820.3,10.29,10.63,7.71,1.62,4,1,0,0,0,1,17761.37,67853449.46,54751307.28
Richmond Town,residential,excellent,845.9,6.17,5.88,2.06,1.65,0,18,0,0,0,0,14121.23,11945559.82,13956203.57
Kogilu,residential,good,1724.7,6.46,17.3,6.14,3.05,1,5,0,0,0,0,4952.98,8542272.16,10437888.68
Chandapura,residential,average,4083.1,5.35,23.71,3.76,4.37,0,15,0,0,0,0,2480.67,10128853.06,11523393.92
KR Puram,residential,good,624.8,2.13,11.51,0.64,1.92,0,23,0,0,0,0,5132.95,3207143.97,4078560.94
Carmelaram,residential,average,14861.6,6.36,18.9,1.57,3.02,3,24,0,0,0,0,3782.22,56210004.1,43875552.68
Malleshwaram,residential,excellent,4515.1,3.84,6.65,3.35,3.26,0,9,0,0,0,0,14350.98,64795730.49,58249566.88
Devanahalli,agricultural,average,3822.9,1.57,35.88,6.82,2.66,0,13,0,0,0,0,1724.24,6591599.84,7358795.03
Varthur,residential,average,1544.3,9.15,20.41,1.15,3.24,1,4,0,0,0,0,2952.43,4559537.04,5630137.56
Kalyan Nagar,residential,good,981.8,5.98,6.67,1.95,2.51,1,6,0,0,0,0,7308.74,7175540.05,6134824.38
BTM Layout,residential,excellent,885.3,8.15,6.45,4.95,1.8,1,24,0,0,0,0,8629.98,7640263.76,6380869.93
Harlur,residential,good,657.5,8.41,16.78,2.5,4.91,2,3,0,0,0,0,5764.35,3789953.6,4376103.92
Brigade Road,commercial,excellent,1012.7,4.2,1.54,0.97,4.69,0,12,0,0,0,1,26644.09,26982293.3,23862781.51
Koramangala,commercial,excellent,6904.8,9.57,5.71,2.18,2.79,0,19,0,0,0,1,20012.18,138180040.63,151969136.47
Rajajinagar,residential,excellent,4393.8,5.76,6.49,2.56,3.7,1,20,0,0,0,0,9338.23,41030566.35,47211774.72
Bommanahalli,residential,good,16456.2,8.25,13.81,1.59,3.0,5,23,0,0,0,0,4696.05,77279131.37,92138086.79
Doddaballapur,agricultural,poor,1891.2,4.29,38.41,7.73,2.74,0,13,0,0,0,0,863.48,1633053.71,1520186.98
Indiranagar,residential,excellent,1368.6,7.74,6.22,4.07,1.71,3,15,0,0,0,0,12088.8,16544870.75,19919953.54
HBR Layout,residential,good,610.6,8.86,11.11,4.45,3.16,0,18,0,0,0,0,6780.32,4140222.47,5587384.33
Nagarbhavi,residential,good,2359.5,6.55,10.61,5.2,4.47,2,17,0,0,0,0,4697.23,11083140.11,11063914.31
Devanahalli,agricultural,average,1974.4,1.04,34.05,2.18,1.84,1,21,0,0,0,0,1553.24,3066672.24,3589312.53
Lavelle Road,residential,excellent,905.5,5.33,4.45,3.18,2.86,0,13,0,0,0,0,22858.58,20697858.73,24914412.54
Peenya,industrial,average,1011.0,2.14,11.92,2.36,4.6,0,8,0,0,0,1,3573.46,3612923.48,2836060.92
Doddaballapur,agricultural,poor,4926.9,1.71,38.29,6.06,3.97,0,22,0,0,0,0,872.6,4299276.95,4617701.73
Vasanth Nagar,residential,excellent,1724.9,5.71,3.84,7.36,1.31,0,3,0,0,1,0,17782.23,30671754.14,24857339.02
Hoskote,agricultural,poor,1533.1,4.36,31.57,1.73,1.46,3,2,0,0,1,0,1226.18,1879825.57,1780021.75
Hoodi,residential,good,914.2,3.51,14.29,2.8,1.43,1,1,0,0,1,0,6575.18,6010938.04,7986905.15
Brigade Road,commercial,excellent,11645.8,7.51,2.09,4.88,4.44,2,5,0,0,0,1,25264.31,294221873.04,346323920.55
Whitefield,commercial,excellent,4370.0,6.5,15.6,0.35,2.73,3,2,1,0,0,1,7432.15,32478404.64,26413513.66
HBR Layout,residential,good,8556.8,6.15,9.36,3.09,0.78,1,12,0,0,1,0,7089.74,60665392.17,51044978.22
Hoodi,residential,good,1637.3,6.3,13.29,3.59,0.64,0,6,1,0,1,0,5676.37,9293758.79,12141238.57
